"scenario","audit_rate","replicate","method","estimate","true_moment","brier","auc"
"transported",0.01,10,"Augmented: Target-audit same-X",0.0510833317782032,0.0570926562306611,0.120618304392388,0.883765854684992
"transported",0.01,10,"Plug-in: Target-audit same-X",0.0516218030699656,0.0570926562306611,0.120618304392388,0.883765854684992
"transported",0.01,10,"Augmented: External same-X",0.0491713697250765,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,10,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,10,"Augmented: External same-X distorted",0.0477108317895467,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,10,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,10,"Augmented: External same-X recalibrated",0.0493393467669927,0.0570926562306611,0.105707730408229,0.90695882095891
"transported",0.01,10,"Plug-in: External same-X recalibrated",0.0536639838719256,0.0570926562306611,0.105707730408229,0.90695882095891
"transported",0.01,10,"Augmented: External BISG-like",0.0519525333689273,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,10,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,11,"IPW",0.0663420595460095,0.0570926562306611,NA,NA
"transported",0.01,11,"Augmented: Target-audit same-X",0.0562119081082417,0.0570926562306611,0.114989302171755,0.89084203786627
"transported",0.01,11,"Plug-in: Target-audit same-X",0.0563968343610134,0.0570926562306611,0.114989302171755,0.89084203786627
"transported",0.01,11,"Augmented: External same-X",0.0556595071372307,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,11,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,11,"Augmented: External same-X distorted",0.0544962479539152,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,11,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,11,"Augmented: External same-X recalibrated",0.055937322984595,0.0570926562306611,0.104967835810131,0.907365546312378
"transported",0.01,11,"Plug-in: External same-X recalibrated",0.052969319950908,0.0570926562306611,0.104967835810131,0.907365546312378
"transported",0.01,11,"Augmented: External BISG-like",0.0567573080997831,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,11,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,12,"IPW",0.0622389845793878,0.0570926562306611,NA,NA
"transported",0.01,12,"Augmented: Target-audit same-X",0.0606424392506058,0.0570926562306611,0.108935380949696,0.900043481283496
